Data_Hora;Temp;Pressão;Umidade;Dir Vento;Vel Vento
09/07/2020 13:00;30;1014;69.98;80;12
09/07/2020 14:00;30;1014;69.98;90;13
09/07/2020 15:00;30;1014;78.82;70;9
09/07/2020 16:00;30;1014;74.19;60;7
09/07/2020 17:00;30;1014;74.19;80;9
09/07/2020 18:00;30;1014;74.14;70;6
09/07/2020 19:00;26;1014;78.68;90;5
09/07/2020 20:00;26;1015;78.68;80;7
09/07/2020 21:00;26;1015;78.68;100;7
09/07/2020 22:00;26;1015;83.6;90;7
09/07/2020 23:00;26;1015;83.6;130;5
10/07/2020 0:00;25;1015;83.48;190;3
10/07/2020 1:00;25;1014;88.7;170;3
10/07/2020 2:00;25;1014;88.7;140;5
10/07/2020 3:00;25;1014;83.48;150;4
10/07/2020 4:00;25;1014;83.48;160;6
10/07/2020 5:00;24;1014;88.62;140;4
10/07/2020 6:00;24;1014;88.62;160;5
10/07/2020 7:00;25;1015;83.48;150;7
10/07/2020 8:00;26;1015;83.60;140;10
10/07/2020 9:00;30;1015;78.82;120;13
10/07/2020 10:00;31;1015;62.13;100;17
10/07/2020 11:00;30;1015;62.35;100;16
10/07/2020 12:00;33;1014;58.66;90;17
10/07/2020 13:00;33;1014;58.66;90;18
10/07/2020 14:00;33;1013;62.35;100;15
10/07/2020 15:00;32;1013;66.04;100;16
10/07/2020 16:00;29;1013;62.13;80;13
10/07/2020 17:00;30;1013;65.83;70;9
10/07/2020 18:00;27;1013;74.19;70;4
10/07/2020 19:00;26;1013;78.68;90;7
10/07/2020 20:00;26;1013;83.6;80;6
10/07/2020 21:00;26;1014;83.6;90;7
10/07/2020 22:00;26;1014;83.6;70;6
10/07/2020 23:00;26;1015;78.68;90;8
11/07/2020 0:00;27;1014;78.82;80;7
11/07/2020 1:00;27;1014;74.19;80;8
11/07/2020 2:00;26;1013;76.68;100;8
11/07/2020 3:00;26;1013;78.68;100;10
11/07/2020 4:00;26;1013;78.68;120;7
11/07/2020 5:00;25;1013;78.54;140;5
11/07/2020 6:00;25;1014;83.48;130;5
11/07/2020 7:00;26;1014;74.02;130;6
11/07/2020 8:00;27;1015;74.19;130;7
11/07/2020 9:00;28;1015;65.83;120;11
11/07/2020 10:00;29;1015;58.42;140;13
11/07/2020 11:00;30;1014;51.84;140;11
11/07/2020 12:00;30;1013;55.15;150;12
11/07/2020 13:00;30;1013;55.15;150;12
11/07/2020 14:00;31;1011;52.09;80;9
11/07/2020 15:00;30;1010;58.66;70;7
11/07/2020 16:00;29;1011;62.13;80;12
11/07/2020 17:00;28;1011;65.83;80;10
11/07/2020 18:00;27;1011;69.79;80;11
11/07/2020 19:00;27;1012;74.19;80;8
11/07/2020 20:00;27;1012;74.19;90;9
11/07/2020 21:00;27;1013;74.19;90;8
11/07/2020 22:00;27;1013;74.19;90;8
11/07/2020 23:00;27;1013;78.82;80;9
12/07/2020 0:00;27;1013;78.82;90;8
12/07/2020 1:00;26;1012;83.6;100;8
12/07/2020 2:00;26;1012;83.6;120;7
12/07/2020 3:00;26;1012;83.6;150;4
12/07/2020 4:00;26;1012;83.6;160;4
12/07/2020 5:00;25;1013;83.48;150;5
12/07/2020 6:00;25;1013;83.48;150;6
12/07/2020 7:00;26;1014;74.02;150;8
12/07/2020 8:00;27;1015;69.79;140;12
12/07/2020 9:00;28;1014;65.83;150;11
12/07/2020 10:00;29;1014;62.13;130;14
12/07/2020 11:00;29;1014;62.13;130;12
12/07/2020 12:00;30;1013;58.66;110;13
12/07/2020 13:00;28;1013;69.98;100;14
12/07/2020 14:00;30;1012;69.98;90;13
12/07/2020 15:00;30;1012;65.83;110;13
12/07/2020 16:00;30;1012;74.14;80;14
12/07/2020 17:00;30;1012;74.19;100;13
12/07/2020 18:00;26;1012;74.02;110;8
12/07/2020 19:00;26;1013;78.68;100;9
12/07/2020 20:00;26;1013;78.68;100;9
12/07/2020 21:00;26;1014;78.68;90;8
12/07/2020 22:00;27;1014;74.19;80;8
12/07/2020 23:00;26;1014;78.68;90;9
13/07/2020 00:00;27;1014;74.14;90;11
13/07/2020 01:00;26;1014;65.41;100;11
13/07/2020 02:00;26;1013;65.41;140;8
13/07/2020 03:00;25;1013;69.40;140;7
13/07/2020 04:00;24;1013;78.39;140;7
13/07/2020 05:00;24;1013;78.39;140;11
13/07/2020 06:00;23;1014;78.24;130;1 
