created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2020-07-07 10:18:42 -03,1,"26.55
","1013.96
","86.50
","0.00
","315
",,,,
2020-07-07 10:19:13 -03,2,"26.59
","1013.91
","86.60
","0.00
","135
",,,,
2020-07-07 10:19:45 -03,3,"26.67
","1013.91
","86.70
","0.00
","135
",,,,
2020-07-07 10:20:16 -03,4,"26.76
","1013.96
","87.10
","0.00
","90
",,,,
2020-07-07 10:20:48 -03,5,"26.79
","1013.88
","86.70
","0.00
","135
",,,,
2020-07-07 10:21:19 -03,6,"26.85
","1013.93
","85.70
","0.00
","225
",,,,
2020-07-07 10:21:50 -03,7,"26.92
","1013.88
","85.00
","0.00
","90
",,,,
2020-07-07 10:22:22 -03,8,"26.97
","1013.81
","85.20
","0.00
","135
",,,,
2020-07-07 10:22:53 -03,9,"27.02
","1013.82
","85.10
","0.00
","90
",,,,
2020-07-07 10:23:24 -03,10,"26.97
","1013.82
","84.30
","0.00
","225
",,,,
2020-07-07 10:23:56 -03,11,"26.97
","1013.79
","83.90
","5.17
","45
",,,,
2020-07-07 10:24:27 -03,12,"27.01
","1013.85
","84.50
","0.00
","135
",,,,
2020-07-07 10:24:59 -03,13,"27.03
","1013.78
","84.90
","0.00
","90
",,,,
2020-07-07 10:25:30 -03,14,"27.02
","1013.77
","84.10
","0.74
","225
",,,,
2020-07-07 10:26:01 -03,15,"27.03
","1013.76
","84.30
","0.74
","90
",,,,
2020-07-07 10:26:33 -03,16,"27.01
","1013.76
","84.30
","3.69
","135
",,,,
2020-07-07 10:27:04 -03,17,"27.05
","1013.70
","84.30
","0.00
","90
",,,,
2020-07-07 10:27:35 -03,18,"27.06
","1013.72
","84.50
","0.00
","90
",,,,
2020-07-07 10:28:07 -03,19,"27.07
","1013.66
","84.20
","0.00
","90
",,,,
2020-07-07 10:28:38 -03,20,"27.03
","1013.69
","82.40
","0.00
","315
",,,,
2020-07-07 10:29:09 -03,21,"27.11
","1013.59
","83.50
","0.00
","225
",,,,
2020-07-07 10:29:41 -03,22,"27.17
","1013.60
","83.80
","0.00
","135
",,,,
2020-07-07 10:30:12 -03,23,"27.23
","1013.63
","84.10
","0.00
","90
",,,,
2020-07-07 10:30:44 -03,24,"27.21
","1013.49
","83.80
","0.00
","0
",,,,
2020-07-07 10:31:15 -03,25,"27.25
","1013.50
","83.80
","0.00
","180
",,,,
2020-07-07 10:31:46 -03,26,"27.29
","1013.53
","83.60
","0.00
","135
",,,,
2020-07-07 10:32:18 -03,27,"27.34
","1013.55
","84.00
","0.00
","315
",,,,
2020-07-07 10:32:49 -03,28,"27.36
","1013.51
","84.20
","0.00
","135
",,,,
2020-07-07 10:33:20 -03,29,"27.39
","1013.41
","84.10
","0.00
","90
",,,,
2020-07-07 10:33:52 -03,30,"27.44
","1013.44
","84.20
","0.00
","90
",,,,
2020-07-07 10:34:23 -03,31,"27.49
","1013.43
","83.60
","0.00
","270
",,,,
2020-07-07 10:34:54 -03,32,"27.44
","1013.42
","83.60
","0.00
","45
",,,,
2020-07-07 10:35:26 -03,33,"27.44
","1013.41
","82.00
","0.00
","90
",,,,
2020-07-07 10:35:57 -03,34,"27.45
","1013.41
","82.10
","0.00
","0
",,,,
2020-07-07 10:36:29 -03,35,"27.45
","1013.42
","81.70
","0.00
","45
",,,,
2020-07-07 10:37:00 -03,36,"27.45
","1013.39
","81.30
","0.00
","180
",,,,
2020-07-07 10:37:31 -03,37,"27.40
","1013.37
","81.50
","0.00
","90
",,,,
2020-07-07 10:38:03 -03,38,"27.39
","1013.38
","81.50
","0.00
","90
",,,,
2020-07-07 10:38:34 -03,39,"27.41
","1013.39
","81.60
","0.00
","135
",,,,
2020-07-07 10:39:05 -03,40,"27.43
","1013.43
","81.80
","0.00
","0
",,,,
2020-07-07 10:39:37 -03,41,"27.34
","1013.45
","82.00
","1.48
","90
",,,,
2020-07-07 10:40:08 -03,42,"27.36
","1013.42
","81.50
","0.00
","90
",,,,
2020-07-07 10:40:40 -03,43,"27.35
","1013.33
","81.30
","5.17
","90
",,,,
2020-07-07 10:41:11 -03,44,"27.34
","1013.33
","81.10
","0.00
","135
",,,,
2020-07-07 10:41:42 -03,45,"27.32
","1013.29
","82.00
","0.00
","0
",,,,
2020-07-07 10:42:14 -03,46,"27.30
","1013.33
","82.50
","0.00
","135
",,,,
2020-07-07 10:42:45 -03,47,"27.29
","1013.34
","82.40
","0.00
","90
",,,,
2020-07-07 10:43:16 -03,48,"27.32
","1013.35
","82.40
","0.00
","135
",,,,
2020-07-07 10:43:48 -03,49,"27.28
","1013.32
","83.50
","1.48
","135
",,,,
2020-07-07 10:44:19 -03,50,"27.32
","1013.27
","83.30
","0.00
","180
",,,,
2020-07-07 10:44:50 -03,51,"27.38
","1013.29
","83.50
","0.00
","90
",,,,
2020-07-07 10:45:22 -03,52,"27.37
","1013.26
","84.40
","0.00
","135
",,,,
2020-07-07 10:45:53 -03,53,"27.31
","1013.29
","82.70
","0.00
","90
",,,,
2020-07-07 10:46:25 -03,54,"27.31
","1013.30
","82.00
","1.48
","135
",,,,
2020-07-07 10:46:56 -03,55,"27.33
","1013.26
","82.30
","0.00
","135
",,,,
2020-07-07 10:47:27 -03,56,"27.37
","1013.31
","82.80
","0.00
","135
",,,,
2020-07-07 10:47:59 -03,57,"27.39
","1013.21
","83.20
","0.00
","135
",,,,
2020-07-07 10:48:30 -03,58,"27.37
","1013.29
","83.50
","0.00
","225
",,,,
2020-07-07 10:49:01 -03,59,"27.40
","1013.27
","83.10
","0.00
","90
",,,,
2020-07-07 10:49:33 -03,60,"27.35
","1013.25
","81.60
","4.43
","0
",,,,
2020-07-07 10:50:04 -03,61,"27.37
","1013.24
","81.00
","0.00
","135
",,,,
2020-07-07 10:50:36 -03,62,"27.33
","1013.24
","80.90
","0.74
","270
",,,,
2020-07-07 10:51:07 -03,63,"27.36
","1013.20
","80.70
","0.00
","135
",,,,
2020-07-07 10:51:38 -03,64,"27.39
","1013.17
","80.70
","0.00
","90
",,,,
2020-07-07 10:52:10 -03,65,"27.38
","1013.20
","80.60
","0.00
","135
",,,,
2020-07-07 10:52:41 -03,66,"27.38
","1013.14
","80.20
","2.22
","180
",,,,
2020-07-07 10:53:12 -03,67,"27.37
","1013.15
","80.10
","0.00
","90
",,,,
2020-07-07 10:53:44 -03,68,"27.40
","1013.19
","80.30
","0.00
","135
",,,,
2020-07-07 10:54:15 -03,69,"27.40
","1013.12
","80.60
","0.00
","90
",,,,
2020-07-07 10:54:46 -03,70,"27.40
","1013.16
","81.00
","0.00
","135
",,,,
2020-07-07 10:55:18 -03,71,"27.42
","1013.09
","81.70
","0.00
","90
",,,,
2020-07-07 10:55:49 -03,72,"27.46
","1013.09
","82.60
","0.00
","225
",,,,
2020-07-07 10:56:21 -03,73,"27.48
","1013.11
","82.50
","0.00
","180
",,,,
2020-07-07 10:56:52 -03,74,"27.51
","1013.07
","82.80
","0.00
","135
",,,,
2020-07-07 10:57:23 -03,75,"27.51
","1013.11
","82.30
","0.00
","135
",,,,
2020-07-07 10:57:55 -03,76,"27.53
","1013.08
","81.50
","0.00
","135
",,,,
2020-07-07 10:58:26 -03,77,"27.55
","1013.11
","81.30
","0.00
","90
",,,,
2020-07-07 10:58:57 -03,78,"27.57
","1013.13
","81.10
","0.00
","225
",,,,
2020-07-07 10:59:29 -03,79,"27.56
","1013.06
","81.40
","0.00
","135
",,,,
2020-07-07 11:00:00 -03,80,"27.56
","1013.09
","81.50
","0.00
","90
",,,,
2020-07-07 11:00:32 -03,81,"27.54
","1013.07
","81.20
","0.00
","270
",,,,
2020-07-07 11:01:03 -03,82,"27.55
","1013.05
","80.80
","0.00
","90
",,,,
2020-07-07 11:01:34 -03,83,"27.55
","1013.04
","81.40
","0.00
","135
",,,,
2020-07-07 11:02:06 -03,84,"27.53
","1013.03
","81.70
","1.48
","90
",,,,
2020-07-07 11:02:37 -03,85,"27.52
","1013.02
","81.20
","0.00
","135
",,,,
2020-07-07 11:03:08 -03,86,"27.53
","1013.11
","81.50
","0.74
","180
",,,,
2020-07-07 11:03:40 -03,87,"27.55
","1013.07
","82.10
","0.00
","90
",,,,
2020-07-07 11:04:11 -03,88,"27.55
","1013.00
","81.40
","0.00
","45
",,,,
2020-07-07 11:04:42 -03,89,"27.54
","1013.01
","81.60
","0.00
","180
",,,,
2020-07-07 11:05:14 -03,90,"27.53
","1013.03
","81.60
","0.74
","90
",,,,
2020-07-07 11:05:45 -03,91,"27.53
","1013.01
","80.70
","0.00
","90
",,,,
2020-07-07 11:06:17 -03,92,"27.52
","1013.01
","80.20
","0.00
","270
",,,,
2020-07-07 11:06:48 -03,93,"27.52
","1012.97
","81.50
","1.48
","180
",,,,
2020-07-07 11:07:19 -03,94,"27.54
","1012.96
","81.10
","0.00
","135
",,,,
2020-07-07 11:07:51 -03,95,"27.56
","1012.98
","81.60
","0.00
","315
",,,,
2020-07-07 11:08:22 -03,96,"27.54
","1012.93
","82.00
","4.43
","315
",,,,
2020-07-07 11:08:54 -03,97,"27.54
","1012.90
","81.10
","0.00
","90
",,,,
2020-07-07 11:09:25 -03,98,"27.55
","1012.90
","80.80
","0.00
","45
",,,,
2020-07-07 11:09:56 -03,99,"27.57
","1012.88
","81.00
","0.00
","90
",,,,
2020-07-07 11:10:28 -03,100,"27.60
","1012.88
","81.50
","0.00
","270
",,,,
2020-07-07 11:10:59 -03,101,"27.61
","1012.88
","82.00
","0.00
","135
",,,,
2020-07-07 11:11:30 -03,102,"27.62
","1012.89
","82.10
","0.00
","180
",,,,
2020-07-07 11:12:02 -03,103,"27.62
","1012.89
","81.80
","0.00
","180
",,,,
2020-07-07 11:12:33 -03,104,"27.63
","1012.84
","80.30
","1.48
","90
",,,,
2020-07-07 11:13:05 -03,105,"27.63
","1012.86
","80.50
","0.00
","90
",,,,
2020-07-07 11:13:36 -03,106,"27.61
","1012.86
","80.10
","0.00
","135
",,,,
2020-07-07 11:14:08 -03,107,"27.61
","1012.83
","79.60
","1.48
","180
",,,,
2020-07-07 11:14:39 -03,108,"27.63
","1012.84
","79.70
","0.00
","45
",,,,
2020-07-07 11:15:10 -03,109,"27.66
","1012.80
","79.30
","0.00
","0
",,,,
2020-07-07 11:15:42 -03,110,"27.67
","1012.89
","79.20
","0.00
","135
",,,,
2020-07-07 11:16:13 -03,111,"27.66
","1012.84
","79.80
","0.00
","135
",,,,
2020-07-07 11:16:44 -03,112,"27.66
","1012.88
","79.70
","0.00
","90
",,,,
2020-07-07 11:17:16 -03,113,"27.65
","1012.86
","79.90
","0.00
","135
",,,,
2020-07-07 11:17:47 -03,114,"27.65
","1012.81
","79.80
","0.00
","90
",,,,
2020-07-07 11:18:19 -03,115,"27.65
","1012.80
","80.20
","0.00
","135
",,,,
2020-07-07 11:18:50 -03,116,"27.64
","1012.82
","79.40
","0.00
","45
",,,,
2020-07-07 11:19:21 -03,117,"27.63
","1012.85
","79.20
","0.00
","180
",,,,
2020-07-07 11:19:53 -03,118,"27.65
","1012.82
","80.10
","0.00
","135
",,,,
2020-07-07 11:20:24 -03,119,"27.68
","1012.78
","80.30
","0.00
","90
",,,,
2020-07-07 11:20:55 -03,120,"27.70
","1012.76
","80.20
","0.00
","90
",,,,
2020-07-07 11:21:27 -03,121,"27.71
","1012.76
","80.50
","0.00
","135
",,,,
2020-07-07 11:21:58 -03,122,"27.72
","1012.75
","80.40
","0.00
","90
",,,,
2020-07-07 11:22:29 -03,123,"27.67
","1012.73
","79.80
","0.00
","90
",,,,
2020-07-07 11:23:01 -03,124,"27.68
","1012.73
","77.80
","0.00
","315
",,,,
2020-07-07 11:23:32 -03,125,"27.68
","1012.69
","78.60
","0.00
","90
",,,,
2020-07-07 11:24:04 -03,126,"27.69
","1012.73
","78.50
","0.00
","90
",,,,
2020-07-07 11:24:35 -03,127,"27.70
","1012.71
","78.50
","0.00
","135
",,,,
2020-07-07 11:25:06 -03,128,"27.68
","1012.72
","78.60
","1.48
","135
",,,,
2020-07-07 11:25:38 -03,129,"27.68
","1012.69
","77.70
","0.00
","135
",,,,
2020-07-07 11:26:09 -03,130,"27.68
","1012.66
","78.00
","2.22
","45
",,,,
2020-07-07 11:26:40 -03,131,"27.70
","1012.66
","78.70
","0.00
","90
",,,,
2020-07-07 11:27:12 -03,132,"27.71
","1012.67
","78.50
","0.00
","135
",,,,
2020-07-07 11:27:43 -03,133,"27.71
","1012.62
","78.00
","0.00
","180
",,,,
2020-07-07 11:28:14 -03,134,"27.74
","1012.62
","78.90
","0.00
","225
",,,,
2020-07-07 11:28:47 -03,135,"27.74
","1012.69
","78.30
","0.00
","225
",,,,
2020-07-07 11:29:18 -03,136,"27.72
","1012.61
","78.80
","0.74
","180
",,,,
2020-07-07 11:29:50 -03,137,"27.72
","1012.59
","77.30
","0.00
","135
",,,,
2020-07-07 11:30:21 -03,138,"27.73
","1012.59
","78.00
","0.00
","135
",,,,
2020-07-07 11:30:52 -03,139,"27.73
","1012.55
","78.40
","0.00
","270
",,,,
2020-07-07 11:31:24 -03,140,"27.74
","1012.57
","78.80
","0.00
","180
",,,,
2020-07-07 11:31:55 -03,141,"27.74
","1012.53
","78.40
","0.00
","90
",,,,
2020-07-07 11:32:27 -03,142,"27.75
","1012.50
","78.30
","0.00
","180
",,,,
2020-07-07 11:32:58 -03,143,"27.77
","1012.53
","78.30
","0.00
","90
",,,,
2020-07-07 11:33:30 -03,144,"27.79
","1012.59
","79.10
","0.00
","135
",,,,
2020-07-07 11:34:01 -03,145,"27.78
","1012.49
","79.10
","0.00
","135
",,,,
2020-07-07 11:34:32 -03,146,"27.79
","1012.53
","77.10
","2.22
","180
",,,,
2020-07-07 11:35:04 -03,147,"27.79
","1012.50
","77.40
","0.00
","90
",,,,
2020-07-07 11:35:35 -03,148,"27.79
","1012.49
","77.30
","0.00
","135
",,,,
2020-07-07 11:36:06 -03,149,"27.81
","1012.53
","78.00
","0.00
","135
",,,,
2020-07-07 11:36:38 -03,150,"27.81
","1012.48
","78.20
","2.22
","180
",,,,
2020-07-07 11:37:09 -03,151,"27.83
","1012.50
","77.40
","0.00
","135
",,,,
2020-07-07 11:37:40 -03,152,"27.83
","1012.49
","77.40
","0.00
","90
",,,,
2020-07-07 11:38:12 -03,153,"27.81
","1012.47
","77.00
","0.00
","270
",,,,
2020-07-07 11:38:43 -03,154,"27.82
","1012.47
","76.60
","0.00
","90
",,,,
2020-07-07 11:39:15 -03,155,"27.83
","1012.40
","76.90
","0.00
","90
",,,,
2020-07-07 11:39:46 -03,156,"27.84
","1012.42
","77.30
","0.00
","135
",,,,
2020-07-07 11:40:17 -03,157,"27.83
","1012.37
","77.40
","0.00
","135
",,,,
2020-07-07 11:40:49 -03,158,"27.83
","1012.37
","77.00
","0.00
","180
",,,,
2020-07-07 11:41:20 -03,159,"27.87
","1012.39
","77.00
","0.00
","135
",,,,
2020-07-07 11:41:52 -03,160,"27.89
","1012.34
","75.90
","0.00
","45
",,,,
2020-07-07 11:42:23 -03,161,"27.90
","1012.38
","76.30
","0.00
","225
",,,,
2020-07-07 11:42:54 -03,162,"27.90
","1012.38
","75.70
","0.00
","90
",,,,
2020-07-07 11:43:26 -03,163,"27.90
","1012.34
","74.00
","0.00
","90
",,,,
2020-07-07 11:43:57 -03,164,"27.92
","1012.32
","74.00
","6.65
","0
",,,,
2020-07-07 11:44:28 -03,165,"27.93
","1012.33
","74.40
","0.00
","135
",,,,
2020-07-07 11:45:00 -03,166,"27.94
","1012.32
","74.70
","0.00
","90
",,,,
2020-07-07 11:45:31 -03,167,"27.96
","1012.33
","74.50
","0.00
","90
",,,,
2020-07-07 11:46:02 -03,168,"27.97
","1012.31
","74.90
","0.00
","45
",,,,
2020-07-07 11:46:34 -03,169,"27.97
","1012.27
","74.50
","0.00
","270
",,,,
2020-07-07 11:47:05 -03,170,"27.98
","1012.33
","73.00
","0.00
","0
",,,,
2020-07-07 11:47:37 -03,171,"27.99
","1012.28
","73.50
","0.00
","180
",,,,
2020-07-07 11:48:08 -03,172,"27.98
","1012.29
","72.30
","0.00
","180
",,,,
2020-07-07 11:48:39 -03,173,"27.99
","1012.26
","72.80
","0.74
","180
",,,,
2020-07-07 11:49:11 -03,174,"27.99
","1012.26
","72.30
","0.00
","90
",,,,
2020-07-07 11:49:42 -03,175,"27.97
","1012.21
","71.60
","0.00
","90
",,,,
2020-07-07 11:50:14 -03,176,"27.98
","1012.20
","72.30
","0.00
","90
",,,,
2020-07-07 11:50:45 -03,177,"28.00
","1012.23
","72.50
","0.00
","45
",,,,
2020-07-07 11:51:16 -03,178,"27.98
","1012.18
","72.00
","0.00
","90
",,,,
2020-07-07 11:51:48 -03,179,"28.00
","1012.19
","72.40
","0.00
","90
",,,,
2020-07-07 11:52:19 -03,180,"28.00
","1012.20
","72.90
","0.00
","90
",,,,
2020-07-07 11:52:50 -03,181,"27.99
","1012.17
","72.00
","0.00
","135
",,,,
2020-07-07 11:53:22 -03,182,"28.00
","1012.12
","72.10
","0.00
","90
",,,,
2020-07-07 11:53:53 -03,183,"28.03
","1012.14
","72.50
","0.00
","225
",,,,
2020-07-07 11:54:25 -03,184,"28.03
","1012.15
","72.40
","0.00
","135
",,,,
2020-07-07 11:54:56 -03,185,"28.04
","1012.10
","72.60
","0.00
","180
",,,,
2020-07-07 11:55:27 -03,186,"28.05
","1012.08
","71.80
","0.00
","135
",,,,
2020-07-07 11:55:59 -03,187,"28.07
","1012.10
","72.20
","0.00
","45
",,,,
2020-07-07 11:56:30 -03,188,"28.08
","1012.08
","72.60
","0.00
","135
",,,,
2020-07-07 11:57:01 -03,189,"28.10
","1012.09
","73.10
","0.00
","135
",,,,
2020-07-07 11:57:33 -03,190,"28.11
","1012.06
","73.80
","0.00
","180
",,,,
2020-07-07 11:58:04 -03,191,"28.13
","1012.09
","73.10
","0.00
","270
",,,,
2020-07-07 11:58:36 -03,192,"28.16
","1012.02
","72.70
","0.00
","90
",,,,
2020-07-07 11:59:07 -03,193,"28.16
","1012.01
","72.40
","0.00
","180
",,,,
2020-07-07 11:59:38 -03,194,"28.18
","1012.05
","72.20
","0.00
","135
",,,,
2020-07-07 12:00:10 -03,195,"28.18
","1012.00
","71.40
","0.00
","90
",,,,
2020-07-07 12:00:41 -03,196,"28.19
","1012.07
","70.60
","0.74
","135
",,,,
2020-07-07 12:01:12 -03,197,"28.15
","1012.00
","70.70
","0.00
","135
",,,,
2020-07-07 12:01:44 -03,198,"28.18
","1011.92
","69.90
","0.74
","270
",,,,
2020-07-07 12:02:15 -03,199,"28.18
","1011.93
","71.10
","0.00
","225
",,,,
2020-07-07 12:02:47 -03,200,"28.19
","1011.90
","71.80
","0.00
","270
",,,,
2020-07-07 12:03:18 -03,201,"28.20
","1011.87
","71.60
","0.00
","135
",,,,
2020-07-07 12:03:49 -03,202,"28.23
","1011.92
","71.10
","5.91
","135
",,,,
2020-07-07 12:04:21 -03,203,"28.24
","1011.90
","72.30
","25.86
","270
",,,,
2020-07-07 12:04:52 -03,204,"28.26
","1011.94
","70.70
","0.00
","135
",,,,
2020-07-07 12:05:23 -03,205,"28.26
","1011.91
","70.90
","0.00
","135
",,,,
2020-07-07 12:05:55 -03,206,"28.26
","1011.85
","71.10
","3.69
","90
",,,,
2020-07-07 12:06:26 -03,207,"28.27
","1011.78
","72.40
","0.74
","90
",,,,
2020-07-07 12:06:57 -03,208,"28.27
","1011.90
","70.70
","0.74
","225
",,,,
2020-07-07 12:07:29 -03,209,"28.29
","1011.86
","71.80
","0.00
","270
",,,,
2020-07-07 12:08:00 -03,210,"28.29
","1011.80
","71.80
","0.00
","90
",,,,
2020-07-07 12:08:32 -03,211,"28.29
","1011.90
","72.00
","0.00
","90
",,,,
2020-07-07 12:09:03 -03,212,"28.29
","1011.79
","71.00
","9.61
","135
",,,,
2020-07-07 12:09:34 -03,213,"28.31
","1011.78
","70.80
","0.00
","90
",,,,
2020-07-07 12:10:06 -03,214,"28.29
","1011.76
","70.90
","0.74
","90
",,,,
